Measurement
303.6
273.9
363.4
333
319.8
287.4
305
332
315.9
333.1
254
331.6
323.6
352.2
340.9
331.7
318.4
317.4
294.7
318.4
320
353
333.1
326.1
342.8
321.8
306.4
358.3
329.7
404
370.5
325.7
291
266
294.9
359.7
239.3
327.7
343.9
278
320.2
346.7
363
308.8
281.2
321.6
355
323.2
306.4
334.3
338.7
348.7
316.2
363.4
333.9
317.3
317.9
342.1
300.2
352.3
303.1
375.6
310.5
318.6
359
321.3
357.5
392.1
308
279.4
354.7
247.4
355.1
335.7
316.7
391.9
321.2
268.4
312.4
325.5
353.8
375.5
239
288.9
351.7
332.5
264.8
327
318.6
336.6
318.3
371.3
363.9
296.8
398.6
364.1
329
289.1
337.1
341.2
270.4
332.1
358.9
387.3
308.6
277.3
263.9
349
299
278.8
384.4
319.1
295.7
326.5
298.2
327.4
345.3
318.9
303.6
263
394.2
286.1
347.8
329.4
324.6
